paris	NOM	pari
.	SENT	.
_	ADJ	_
sochaux-lyon	NOM	sochaux-lyon
et	KON	et
guingamp-nantes	NOM	guingamp-nantes
sont	VER:pres	être
les	DET:ART	le
seules	ADJ	seul
affiches	NOM	affiche
entre	PRP	entre
clubs	NOM	club
de	PRP	de
l'	DET:ART	le
élite	NOM	élite
des	PRP:det	du
8	NUM	@card@
e	NOM	e
s	VER:subi	s
de	PRP	de
finale	NOM	finale
de	PRP	de
la	DET:ART	le
coupe	NOM	coupe
de	PRP	de
la	DET:ART	le
ligue	NOM	ligue
,	PUN	,
aujourd'hui	ADV	aujourd'hui
,	PUN	,
trois	NUM	trois
autres	ADJ	autre
formations	NOM	formation
de	PRP	de
l	NOM	l
1	NUM	@card@
devant	NOM	devant
,	PUN	,
quant	PRP	quant
à	PRP	à
elles	PRO:PER	elle
,	PUN	,
passer	VER:infi	passer
un	DET:ART	un
test	NOM	test
délicat	ADJ	délicat
contre	PRP	contre
des	PRP:det	du
ambitieuses	ADJ	ambitieux
équipes	NOM	équipe
de	PRP	de
l	NOM	l
2.	SENT	@ord@
un	DET:ART	un
constat	NOM	constat
qui	PRO:REL	qui
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
forcément	ADV	forcément
rassurant	ADJ	rassurant
pour	PRP	pour
les	DET:ART	le
formations	NOM	formation
de	PRP	de
l	NOM	l
1,	NUM	@card@
tant	ADV	tant
les	DET:ART	le
clubs	NOM	club
de	PRP	de
l	NOM	l
2	NUM	@card@
sont	VER:pres	être
désormais	ADV	désormais
passés	VER:pper	passer
maîtres	NOM	maître
dans	PRP	dans
l'	DET:ART	le
élimination	NOM	élimination
des	PRP:det	du
gros	ADJ	gros
bras	NOM	bras
.	SENT	.
en	PRP	en
16	NUM	@card@
e	NOM	e
s	VER:subi	s
de	PRP	de
finale	NOM	finale
de	PRP	de
coupe	NOM	coupe
de	PRP	de
la	DET:ART	le
ligue	NOM	ligue
comme	KON	comme
en	PRP	en
32	NUM	@card@
e	NOM	e
s	VER:subi	s
de	PRP	de
finale	NOM	finale
de	PRP	de
coupe	NOM	coupe
de	PRP	de
france	NOM	france
,	PUN	,
le	DET:ART	le
tarif	NOM	tarif
a	VER:pres	avoir
été	VER:pper	être
le	DET:ART	le
même	ADJ	même
pour	PRP	pour
les	DET:ART	le
clubs	NOM	club
de	PRP	de
l'	DET:ART	le
élite	NOM	élite
:	PUN	:
quatre	NUM	quatre
éliminations	NOM	élimination
face	NOM	face
à	PRP	à
des	PRP:det	du
formations	NOM	formation
de	PRP	de
l	NOM	l
2.	SENT	@ord@
l'	DET:ART	le
actuel	ADJ	actuel
leader	NOM	leader
de	PRP	de
l	NOM	l
1,	NUM	@card@
nice	ADJ	nice
,	PUN	,
ayant	VER:ppre	avoir
d'	PRP	de
ailleurs	ADV	ailleurs
chuté	VER:pper	chuter
en	PRP	en
ces	PRO:DEM	ce
deux	NUM	deux
occasions	NOM	occasion
,	PUN	,
face	NOM	face
à	PRP	à
créteil	NOM	créteil
et	KON	et
metz	NAM	Metz
.	SENT	.
bordeaux	NOM	bordeau|bordeaux
,	PUN	,
à	PRP	à
metz	NAM	Metz
,	PUN	,
et	KON	et
monaco	NOM	monaco
,	PUN	,
à	PRP	à
beauvais	NOM	beauvais
,	PUN	,
demain	ADV	demain
,	PUN	,
sont	VER:pres	être
donc	ADV	donc
prévenus	VER:pper	prévenir
.	SENT	.
en	PRP	en
revanche	NOM	revanche
,	PUN	,
marseille	NOM	marseille
,	PUN	,
qui	PRO:REL	qui
accueille	VER:pres	accueillir
créteil	NOM	créteil
ce	PRO:DEM	ce
soir	NOM	soir
,	PUN	,
paraît	VER:pres	paraître
plus	ADV	plus
à	PRP	à
même	ADV	même
de	PRP	de
s'	PRO:PER	se
assurer	VER:infi	assurer
un	DET:ART	un
avenir	NOM	avenir
dans	PRP	dans
la	DET:ART	le
compétition	NOM	compétition
réservée	VER:pper	réserver
aux	PRP:det	au
clubs	NOM	club
professionnels	ADJ	professionnel
,	PUN	,
les	DET:ART	le
cristoliens	NOM	cristoliens
se	PRO:PER	se
présentant	VER:ppre	présenter
au	PRP:det	au
vélodrome	NOM	vélodrome
sans	PRP	sans
match	NOM	match
officiel	ADJ	officiel
dans	PRP	dans
les	DET:ART	le
jambes	NOM	jambe
depuis	PRP	depuis
un	DET:ART	un
mois	NOM	moi|mois
.	SENT	.
pourtant	ADV	pourtant
,	PUN	,
si	KON	si
la	DET:ART	le
logique	NOM	logique
est	VER:pres	être
respectée	VER:pper	respecter
,	PUN	,
l'	DET:ART	le
affiche	NOM	affiche
de	PRP	de
ces	PRO:DEM	ce
8	NUM	@card@
e	NOM	e
est	VER:pres	être
programmée	VER:pper	programmer
au	PRP:det	au
stade	NOM	stade
bonal	ADJ	bonal
où	PRO:REL	où
les	DET:ART	le
sochaliens	NOM	sochaliens
,	PUN	,
déjà	ADV	déjà
vainqueurs	NOM	vainqueur
en	PRP	en
l	NOM	l
1	NUM	@card@
en	PRP	en
août	NOM	août
dernier	ADJ	dernier
(	PUN	(
2	NUM	@card@
-	PUN	-
1	NUM	@card@
),	NOM	),
se	PRO:PER	se
voient	VER:pres	voir
offrir	VER:infi	offrir
l'	DET:ART	le
occasion	NOM	occasion
de	PRP	de
réaliser	VER:infi	réaliser
le	DET:ART	le
doublé	NOM	doublé
contres	NOM	contre
des	PRP:det	du
champions	NOM	champion
de	PRP	de
france	NOM	france
,	PUN	,
lyon	NOM	lyon
,	PUN	,
peu	ADV	peu
à	PRP	à
l'	DET:ART	le
aise	NOM	aise
loin	ADV	loin
de	PRP	de
leur	DET:POS	leur
base	NOM	base
.	SENT	.
affiche	NOM	affiche
de	PRP	de
luxe	NOM	luxe
également	ADV	également
en	PRP	en
bretagne	NOM	bretagne
entre	PRP	entre
guingamp	NOM	guingamp
et	KON	et
nantes	ADJ	nantes
,	PUN	,
deux	NUM	deux
formations	NOM	formation
encore	ADV	encore
en	PRP	en
course	NOM	course
en	PRP	en
coupe	NOM	coupe
de	PRP	de
france	NOM	france
,	PUN	,
respectivement	ADV	respectivement
7	NUM	@card@
e	NOM	e
et	KON	et
10	NUM	@card@
e	NOM	e
de	PRP	de
l	NOM	l
1,	NUM	@card@
qui	PRO:REL	qui
s'	PRO:PER	se
expliquent	VER:pres	expliquer
demain	ADV	demain
pour	PRP	pour
la	DET:ART	le
suprématie	NOM	suprématie
en	PRP	en
armorique	NOM	armorique
,	PUN	,
rennes	NOM	renne
ayant	VER:ppre	avoir
largué	VER:pper	larguer
les	DET:ART	le
amarres	NOM	amarre
depuis	PRP	depuis
longtemps	ADV	longtemps
dans	PRP	dans
ce	PRO:DEM	ce
combat	NOM	combat
des	PRP:det	du
chefs	NOM	chef
.	SENT	.
pas	ADV	pas
vraiment	ADV	vraiment
en	PRP	en
danger	NOM	danger
,	PUN	,
mais	KON	mais
pas	ADV	pas
tout	ADV	tout
à	PRP	à
fait	NOM	fait
tranquille	ADJ	tranquille
non	ADV	non
plus	ADV	plus
,	PUN	,
lille	NOM	lille
reçoit	VER:pres	recevoir
nîmes	VER:simp	nîmes
.	SENT	.
si	KON	si
les	DET:ART	le
gardois	NOM	gardois
aiment	VER:pres	aimer
les	DET:ART	le
parfums	NOM	parfum
de	PRP	de
coupe	NOM	coupe
,	PUN	,
