chaumont	VER:futu	chaumont
.	SENT	.
_	NOM	_
un	DET:ART	un
train	NOM	train
express	ADJ	express
régional	ADJ	régional
(	PUN	(
ter	ADV	ter
)	PUN	)
reliant	VER:ppre	relier
reims	NOM	reims
à	PRP	à
dijon	NOM	dijon
,	PUN	,
avec	PRP	avec
350	NUM	@card@
voyageurs	NOM	voyageur
à	PRP	à
bord	NOM	bord
,	PUN	,
a	VER:pres	avoir
été	VER:pper	être
immobilisé	VER:pper	immobiliser
hier	ADV	hier
pendant	PRP	pendant
plus	ADV	plus
de	PRP	de
deux	NUM	deux
heures	NOM	heure
trente	NUM	trente
à	PRP	à
marault	NOM	marault
en	PRP	en
haute-marne	NOM	haute-marne
à	PRP	à
la	DET:ART	le
suite	NOM	suite
d'	PRP	de
un	DET:ART	un
incendie	NOM	incendie
de	PRP	de
sa	DET:POS	son
motrice	NOM	motrice
.	SENT	.
l'	DET:ART	le
incendie	NOM	incendie
,	PUN	,
qui	PRO:REL	qui
n'	ADV	ne
a	VER:pres	avoir
fait	VER:pper	faire
aucune	PRO:IND	aucun
victime	NOM	victime
,	PUN	,
a	VER:pres	avoir
été	VER:pper	être
rapidement	ADV	rapidement
éteint	VER:pper	éteindre
et	KON	et
ne	ADV	ne
s'	PRO:PER	se
est	VER:pres	être
pas	ADV	pas
propagé	VER:pper	propager
aux	PRP:det	au
wagons	NOM	wagon
.	SENT	.
le	DET:ART	le
train	NOM	train
s'	PRO:PER	se
est	VER:pres	être
arrêté	VER:pper	arrêter
en	PRP	en
rase	ADJ	ras
campagne	NOM	campagne
peu	ADV	peu
avant	PRP	avant
15	NUM	@card@
h	ABR	heure
à	PRP	à
la	DET:ART	le
suite	NOM	suite
de	PRP	de
l'	DET:ART	le
intervention	NOM	intervention
d'	PRP	de
un	DET:ART	un
voyageur	NOM	voyageur
qui	PRO:REL	qui
a	VER:pres	avoir
tiré	VER:pper	tirer
le	DET:ART	le
signal	NOM	signal
d'	PRP	de
alarme	NOM	alarme
à	PRP	à
la	DET:ART	le
vue	NOM	vue
de	PRP	de
fumée	NOM	fumée
se	PRO:PER	se
dégageant	VER:ppre	dégager
de	PRP	de
la	DET:ART	le
locomotive	NOM	locomotive
,	PUN	,
a	VER:pres	avoir
indiqué	VER:pper	indiquer
la	DET:ART	le
sncf	NOM	sncf
.	SENT	.
les	DET:ART	le
personnes	NOM	personne
âgées	ADJ	âgé
et	KON	et
les	DET:ART	le
enfants	NOM	enfant
ont	VER:pres	avoir
été	VER:pper	être
pris	VER:pper	prendre
en	PRP	en
charge	NOM	charge
par	PRP	par
les	DET:ART	le
pompiers	NOM	pompier
.	SENT	.
plus	ADV	plus
d'	PRP	de
une	DET:ART	un
centaine	NOM	centaine
de	PRP	de
personnes	NOM	personne
ont	VER:pres	avoir
été	VER:pper	être
accueillies	VER:pper	accueillir
dans	PRP	dans
les	DET:ART	le
salles	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
des	PRP:det	du
villages	NOM	village
les	DET:ART	le
plus	ADV	plus
proches	ADJ	proche
,	PUN	,
marault	NOM	marault
et	KON	et
bologne	NOM	bologne
,	PUN	,
où	PRO:REL	où
des	PRP:det	du
boissons	NOM	boisson
chaudes	ADJ	chaud
leur	PRO:PER	lui
ont	VER:pres	avoir
été	VER:pper	être
proposées	VER:pper	proposer
.	SENT	.
le	DET:ART	le
train	NOM	train
a	VER:pres	avoir
pu	VER:pper	pouvoir
repartir	VER:infi	repartir
une	DET:ART	un
fois	NOM	foi|fois
la	DET:ART	le
locomotive	NOM	locomotive
remplacée	VER:pper	remplacer
et	KON	et
est	VER:pres	être
arrivé	VER:pper	arriver
à	PRP	à
destination	NOM	destination
avec	PRP	avec
trois	NUM	trois
heures	NOM	heure
de	PRP	de
retard	NOM	retard
.	SENT	.
