hier	ADV	hier
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
un	DET:ART	un
vol	NOM	vol
de	PRP	de
véhicules	NOM	véhicule
a	VER:pres	avoir
eu	VER:pper	avoir
lieu	NOM	lieu
à	PRP	à
stenay	NOM	stenay
et	KON	et
laneuville	NOM	laneuville
;	PUN	;
l'	DET:ART	le
une	NUM	un
des	PRP:det	du
deux	NUM	deux
voitures	NOM	voiture
a	VER:pres	avoir
été	VER:pper	être
retrouvée	VER:pper	retrouver
à	PRP	à
beaufort	NOM	beaufort
devant	PRP	devant
un	DET:ART	un
hangar	NOM	hangar
.	SENT	.
l'	DET:ART	le
enquête	NOM	enquête
est	VER:pres	être
en	PRP	en
cours	NOM	cour|cours
.	SENT	.
