demain	ADV	demain
,	PUN	,
à	PRP	à
21	NUM	@card@
h	ABR	heure
,	PUN	,
l'	DET:ART	le
association	NOM	association
«	PUN:cit	«
animations	NOM	animation
,	PUN	,
sports	NOM	sport
,	PUN	,
loisirs	NOM	loisir
et	KON	et
culture	NOM	culture
»	PUN:cit	»
de	PRP	de
tréveray	NOM	tréveray
organise	VER:pres	organiser
un	DET:ART	un
loto	NOM	loto
,	PUN	,
dans	PRP	dans
la	DET:ART	le
salle	NOM	salle
jean-colson	NOM	jean-colson
.	SENT	.
ouverture	NOM	ouverture
des	PRP:det	du
portes	NOM	porte
à	PRP	à
19	NUM	@card@
h.	ABR	h.
gaufres	NOM	gaufre
,	PUN	,
sandwiches	VER:pres	sandwicher
,	PUN	,
buvette	NOM	buvette
sur	PRP	sur
place	NOM	place
.	SENT	.
nombreux	ADJ	nombreux
lots	NOM	lot
.	SENT	.
