remiremont	VER:futu	remiremont
.	SENT	.
_	ABR	_
c'	PRO:DEM	ce
est	VER:pres	être
à	PRP	à
ventron	NOM	ventron
,	PUN	,
dans	PRP	dans
la	DET:ART	le
station	NOM	station
de	PRP	de
frère-joseph	NOM	frère-joseph
chez	PRP	chez
thibaut	NOM	thibaut
leduc	NOM	leduc
,	PUN	,
que	KON	que
les	DET:ART	le
présidents	NOM	président
européens	ADJ	européen
de	PRP	de
la	DET:ART	le
chaîne	NOM	chaîne
hôtelière	ADJ	hôtelier
des	PRP:det	du
«	PUN:cit	«
relais	NOM	relais
du	PRP:det	du
silence	NOM	silence
»	PUN:cit	»
ont	VER:pres	avoir
tenu	VER:pper	tenir
leur	DET:POS	leur
conseil	NOM	conseil
d'	PRP	de
administration	NOM	administration
.	SENT	.
en	PRP	en
effet	NOM	effet
,	PUN	,
«	PUN:cit	«
avec	PRP	avec
3	NUM	@card@
étoiles	NOM	étoile
et	KON	et
vingt-cinq	NUM	vingt-cinq
chambres	NOM	chambre
,	PUN	,
ici	ADV	ici
à	PRP	à
l'	DET:ART	le
hôtel	NOM	hôtel
des	PRP:det	du
buttes	NOM	butte
,	PUN	,
nous	PRO:PER	nous
avons	VER:pres	avoir
une	DET:ART	un
représentation	NOM	représentation
parfaite	VER:pper	parfaire
de	PRP	de
ce	PRO:DEM	ce
qui	PRO:REL	qui
se	PRO:PER	se
fait	VER:pres	faire
en	PRP	en
relais	NOM	relais
du	PRP:det	du
silence	NOM	silence
.	SENT	.
notre	DET:POS	notre
panel	NOM	panel
assez	ADV	assez
large	ADJ	large
fait	VER:pres	faire
notre	DET:POS	notre
originalité	NOM	originalité
:	PUN	:
70	NUM	@card@
%	SYM	%
des	PRP:det	du
établissements	NOM	établissement
ont	VER:pres	avoir
3	NUM	@card@
étoiles	NOM	étoile
,	PUN	,
15	NUM	@card@
%	SYM	%
sont	VER:pres	être
à	PRP	à
2	NUM	@card@
étoiles	NOM	étoile
et	KON	et
les	DET:ART	le
15	NUM	@card@
autres	ADJ	autre
%	SYM	%
à	PRP	à
4	NUM	@card@
étoiles	NOM	étoile
»,	ADJ	»,
souligne	VER:pres	souligner
xavier	ADJ	xavier
olivereau	NOM	olivereau
,	PUN	,
président	NOM	président
international	ADJ	international
.	SENT	.
il	PRO:PER	il
rappelle	VER:pres	rappeler
l'	DET:ART	le
idée	NOM	idée
de	PRP	de
départ	NOM	départ
,	PUN	,
en	PRP	en
1968	NUM	@card@
de	PRP	de
cette	PRO:DEM	ce
chaîne	NOM	chaîne
à	PRP	à
l'	DET:ART	le
adhésion	NOM	adhésion
volontariste	ADJ	volontariste
.	SENT	.
«	PUN:cit	«
quelques	PRO:IND	quelque
hôteliers	NOM	hôtelier
étaient	VER:impf	être
réunis	VER:pper	réunir
par	PRP	par
une	DET:ART	un
même	ADJ	même
intuition	NOM	intuition
:	PUN	:
le	DET:ART	le
calme	ADJ	calme
est	VER:pres	être
devenu	VER:pper	devenir
la	DET:ART	le
première	NUM	premier
notion	NOM	notion
de	PRP	de
vacances	NOM	vacance
.	SENT	.
le	DET:ART	le
modernisme	NOM	modernisme
bon	ADJ	bon
marché	NOM	marché
a	VER:pres	avoir
installé	VER:pper	installer
autour	ADV	autour
de	PRP	de
nous	PRO:PER	nous
la	DET:ART	le
laideur	NOM	laideur
et	KON	et
le	DET:ART	le
surfait	ADJ	surfait
.	SENT	.
une	DET:ART	un
certaine	ADJ	certain
indifférence	NOM	indifférence
s'	PRO:PER	se
est	VER:pres	être
insinuée	VER:pper	insinuer
dans	PRP	dans
les	DET:ART	le
rapports	NOM	rapport
humains	ADJ	humain
.	SENT	.
»	PUN:cit	»
de	PRP	de
ce	PRO:DEM	ce
triple	ADJ	triple
constat	NOM	constat
découlaient	VER:impf	découler
les	DET:ART	le
clés	NOM	clé
de	PRP	de
la	DET:ART	le
philosophie	NOM	philosophie
:	PUN	:
environnement	NOM	environnement
de	PRP	de
nature	NOM	nature
au	PRP:det	au
calme	ADJ	calme
,	PUN	,
maisons	NOM	maison
de	PRP	de
caractère	NOM	caractère
très	ADV	très
confortables	ADJ	confortable
et	KON	et
chaleur	NOM	chaleur
de	PRP	de
l'	DET:ART	le
accueil	NOM	accueil
.	SENT	.
trois	NUM	trois
clés	NOM	clé
qui	PRO:REL	qui
