"	PUN:cit	"
j'	PRO:PER	je
ai	VER:pres	avoir
mangé	VER:pper	manger
un	DET:ART	un
bon	ADJ	bon
poisson	NOM	poisson
dans	PRP	dans
un	DET:ART	un
restaurant	NOM	restaurant
de	PRP	de
cannes	NOM	canne
aujourd'hui	ADV	aujourd'hui
."	VER:cond	."
c'	PRO:DEM	ce
est	VER:pres	être
moins	ADV	moins
une	DET:ART	un
boutade	NOM	boutade
que	KON	que
le	DET:ART	le
signe	NOM	signe
de	PRP	de
la	DET:ART	le
véritable	ADJ	véritable
modestie	NOM	modestie
du	PRP:det	du
cinéaste	NOM	cinéaste
britannique	ADJ	britannique
mike	NOM	mike
leigh	ADJ	leigh
.	SENT	.
simplicité	NOM	simplicité
,	PUN	,
discrétion	NOM	discrétion
...	PUN	...
ce	PRO:DEM	ce
sont	VER:pres	être
les	DET:ART	le
qualités	NOM	qualité
de	PRP	de
sa	DET:POS	son
personne	NOM	personne
comme	KON	comme
celles	PRO:DEM	celui
de	PRP	de
son	DET:POS	son
travail	NOM	travail
de	PRP	de
cinéaste	NOM	cinéaste
,	PUN	,
tout	ADV	tout
entier	ADJ	entier
consacré	VER:pper	consacrer
à	PRP	à
montrer	VER:infi	montrer
la	DET:ART	le
vie	NOM	vie
quotidienne	ADJ	quotidien
des	PRP:det	du
gens	NOM	gens
simples	ADJ	simple
.	SENT	.
