alors	ADV	alors
que	KON	que
les	DET:ART	le
recherches	NOM	recherche
pour	PRP	pour
retrouver	VER:infi	retrouver
les	DET:ART	le
quatre	NUM	quatre
surfeurs	NOM	surfeur
disparus	VER:pper	disparaître
en	PRP	en
savoie	NOM	savoie
,	PUN	,
cinq	NUM	cinq
skieurs	NOM	skieur
sont	VER:pres	être
morts	VER:pper	mourir
hier	ADV	hier
en	PRP	en
suisse	NOM	suisse
,	PUN	,
emportés	VER:pper	emporter
par	PRP	par
une	DET:ART	un
avalanche	NOM	avalanche
.	SENT	.
deux	NUM	deux
moniteurs	NOM	moniteur
de	PRP	de
ski	NOM	ski
ont	VER:pres	avoir
trouvé	VER:pper	trouver
la	DET:ART	le
mort	NOM	mort
dans	PRP	dans
les	DET:ART	le
mêmes	ADJ	même
conditions	NOM	condition
en	PRP	en
france	NOM	france
.	SENT	.
les	DET:ART	le
recherches	NOM	recherche
pour	PRP	pour
tenter	VER:infi	tenter
de	PRP	de
retrouver	VER:infi	retrouver
quatre	NUM	quatre
surfeurs	NOM	surfeur
de	PRP	de
20	NUM	@card@
à	PRP	à
23	NUM	@card@
ans	NOM	an
,	PUN	,
portés	VER:pper	porter
disparus	VER:pper	disparaître
sous	PRP	sous
le	DET:ART	le
mont	NOM	mont
rosset	NOM	rosset
(	PUN	(
2.449	NUM	@card@
m	NOM	m
)	PUN	)
dans	PRP	dans
le	DET:ART	le
massif	NOM	massif
du	PRP:det	du
beaufortain	NOM	beaufortain
,	PUN	,
ont	VER:pres	avoir
été	VER:pper	être
interrompues	VER:pper	interrompre
hier	VER:infi	hier
soir	NOM	soir
et	KON	et
reprendront	VER:futu	reprendre
ce	PRO:DEM	ce
matin	NOM	matin
.	SENT	.
deux	NUM	deux
caravanes	NOM	caravane
de	PRP	de
9	NUM	@card@
hommes	NOM	homme
progressant	VER:ppre	progresser
à	PRP	à
ski	NOM	ski
,	PUN	,
des	PRP:det	du
gendarmes	NOM	gendarme
et	KON	et
des	PRP:det	du
crs	NOM	crs
de	PRP	de
montagne	NOM	montagne
,	PUN	,
accompagnés	VER:pper	accompagner
par	PRP	par
une	DET:ART	un
chenillette	NOM	chenillette
du	PRP:det	du
bataillon	NOM	bataillon
de	PRP	de
chasseurs	NOM	chasseur
alpins	ADJ	alpin
de	PRP	de
bourg-saint-maurice	NAM	bourg-saint-maurice
,	PUN	,
ont	VER:pres	avoir
parcouru	VER:pper	parcourir
le	DET:ART	le
site	NOM	site
hier	ADV	hier
.	SENT	.
surplombés	VER:pper	surplomber
par	PRP	par
des	PRP:det	du
corniches	NOM	corniche
de	PRP	de
neige	NOM	neige
menaçant	VER:ppre	menacer
de	PRP	de
s'	PRO:PER	se
effondrer	VER:infi	effondrer
à	PRP	à
tout	PRO:IND	tout
moment	NOM	moment
,	PUN	,
les	DET:ART	le
gendarmes	NOM	gendarme
et	KON	et
crs	NOM	crs
de	PRP	de
savoie	NOM	savoie
,	PUN	,
ont	VER:pres	avoir
notamment	ADV	notamment
exploré	VER:pper	explorer
deux	NUM	deux
coulées	NOM	coulée
d'	PRP	de
avalanche	NOM	avalanche
situées	VER:pper	situer
vers	PRP	vers
2.000	NUM	@card@
mètres	NOM	mètre
.	SENT	.
les	DET:ART	le
surfeurs	NOM	surfeur
étaient	VER:impf	être
partis	VER:pper	partir
lundi	NOM	lundi
matin	NOM	matin
en	PRP	en
raquette	NOM	raquette
,	PUN	,
d'	PRP	de
un	DET:ART	un
parking	NOM	parking
situé	VER:pper	situer
à	PRP	à
1.300	NUM	@card@
mètres	NOM	mètre
à	PRP	à
la	DET:ART	le
côte	NOM	côte
d'	PRP	de
aime	VER:pres	aimer
(	PUN	(
savoie	NOM	savoie
),	ADJ	),
malgré	PRP	malgré
une	DET:ART	un
météo	NOM	météo
indiquant	VER:ppre	indiquer
un	DET:ART	un
risque	NOM	risque
maximum	ADJ	maximum
d'	PRP	de
avalanche	NOM	avalanche
.	SENT	.
ils	PRO:PER	il
devaient	VER:impf	devoir
redescendre	VER:infi	redescendre
l'	DET:ART	le
après-midi	NOM	après-midi
en	PRP	en
surf	NOM	surf
.	SENT	.
deux	NUM	deux
moniteurs	NOM	moniteur
de	PRP	de
ski	NOM	ski
sont	VER:pres	être
morts	VER:pper	mourir
mardi	NOM	mardi
emportés	VER:pper	emporter
par	PRP	par
une	DET:ART	un
coulée	NOM	coulée
de	PRP	de
neige	NOM	neige
dans	PRP	dans
le	DET:ART	le
secteur	NOM	secteur
de	PRP	de
saint-françois-longchamp	NOM	saint-françois-longchamp
,	PUN	,
à	PRP	à
1.920	NUM	@card@
m	NOM	m
d'	PRP	de
altitude	NOM	altitude
.	SENT	.
les	DET:ART	le
corps	NOM	corps
des	PRP:det	du
deux	NUM	deux
hommes	NOM	homme
,	PUN	,
âgés	ADJ	âgé
de	PRP	de
23	NUM	@card@
et	KON	et
30	NUM	@card@
ans	NOM	an
,	PUN	,
moniteurs	NOM	moniteur
à	PRP	à
l'	DET:ART	le
école	NOM	école
de	PRP	de
ski	NOM	ski
français	ADJ	français
(	PUN	(
esf	NOM	esf
),	ADJ	),
ont	VER:pres	avoir
été	VER:pper	être
retrouvés	VER:pper	retrouver
par	PRP	par
les	DET:ART	le
sauveteurs	NOM	sauveteur
vers	PRP	vers
22	NUM	@card@
h	ABR	heure
dans	PRP	dans
une	DET:ART	un
zone	NOM	zone
hors-piste	NOM	hors-piste
.	SENT	.
une	DET:ART	un
avalanche	NOM	avalanche
qui	PRO:REL	qui
s'	PRO:PER	se
est	VER:pres	être
déclenchée	VER:pper	déclencher
hier	ADV	hier
sur	PRP	sur
le	DET:ART	le
domaine	NOM	domaine
skiable	ADJ	skiable
de	PRP	de
champex	NOM	champex
,	PUN	,
dans	PRP	dans
le	DET:ART	le
canton	NOM	canton
du	PRP:det	du
valais	NOM	valais
dans	PRP	dans
le	DET:ART	le
sud-ouest	NOM	sud-ouest
de	PRP	de
la	DET:ART	le
suisse	NOM	suisse
,	PUN	,
a	VER:pres	avoir
emporté	VER:pper	emporter
cinq	NUM	cinq
skieurs	NOM	skieur
.	SENT	.
les	DET:ART	le
victimes	NOM	victime
skiaient	VER:impf	skier
sous	PRP	sous
un	DET:ART	un
télésiège	NOM	télésiège
en	PRP	en
dehors	NOM	dehors
des	PRP:det	du
pistes	NOM	piste
balisées	VER:pper	baliser
.	SENT	.
les	DET:ART	le
secours	NOM	secours
ont	VER:pres	avoir
pu	VER:pper	pouvoir
dégager	VER:infi	dégager
une	DET:ART	un
personne	NOM	personne
.	SENT	.
les	DET:ART	le
recherches	NOM	recherche
se	PRO:PER	se
poursuivaient	VER:impf	poursuivre
pour	PRP	pour
tenter	VER:infi	tenter
de	PRP	de
retrouver	VER:infi	retrouver
les	DET:ART	le
autres	ADJ	autre
skieurs	NOM	skieur
qui	PRO:REL	qui
ne	ADV	ne
sont	VER:pres	être
pas	ADV	pas
,	PUN	,
semble-t-il	NOM	semble-t-il
,	PUN	,
équipés	VER:pper	équiper
de	PRP	de
système	NOM	système
de	PRP	de
détection	NOM	détection
.	SENT	.
mardi	NOM	mardi
un	DET:ART	un
skieur	NOM	skieur
hors-piste	NOM	hors-piste
de	PRP	de
18	NUM	@card@
ans	NOM	an
a	VER:pres	avoir
été	VER:pper	être
tué	VER:pper	tuer
par	PRP	par
une	DET:ART	un
avalanche	NOM	avalanche
dans	PRP	dans
le	DET:ART	le
domaine	NOM	domaine
skiable	ADJ	skiable
du	PRP:det	du
jakobshorn	NOM	jakobshorn
à	PRP	à
davos	NOM	davos
,	PUN	,
dans	PRP	dans
l'	DET:ART	le
est	NOM	est
de	PRP	de
la	DET:ART	le
suisse	NOM	suisse
.	SENT	.
dix	NUM	dix
personnes	NOM	personne
ont	VER:pres	avoir
déjà	ADV	déjà
perdu	VER:pper	perdre
la	DET:ART	le
vie	NOM	vie
depuis	PRP	depuis
le	DET:ART	le
début	NOM	début
de	PRP	de
l'	DET:ART	le
hiver	NOM	hiver
dans	PRP	dans
des	PRP:det	du
avalanches	NOM	avalanche
en	PRP	en
suisse	NOM	suisse
.	SENT	.
