interdire	VER:infi	interdire
la	DET:ART	le
vente	NOM	vente
de	PRP	de
tabac	NOM	tabac
aux	PRP:det	au
moins	ADV	moins
de	PRP	de
16	NUM	@card@
ans	NOM	an
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
la	DET:ART	le
proposition	NOM	proposition
de	PRP	de
loi	NOM	loi
déposée	VER:pper	déposer
par	PRP	par
bernard	NOM	bernard
joly	ADJ	joly
(	PUN	(
rdse	VER:pres	rdse
,	PUN	,
haute-saône	NOM	haute-saône
)	PUN	)
qui	PRO:REL	qui
sera	VER:futu	être
examinée	VER:pper	examiner
aujourd'hui	ADV	aujourd'hui
au	PRP:det	au
sénat	NOM	sénat
.	SENT	.
l'	DET:ART	le
infraction	NOM	infraction
serait	VER:cond	être
punie	VER:pper	punir
de	PRP	de
3.750	NUM	@card@
	NOM	
d'	PRP	de
amende	NOM	amende
.	SENT	.
en	PRP	en
france	NOM	france
