gérant	VER:ppre	gérer
de	PRP	de
point-services	NOM	point-services
à	PRP	à
epinal	NOM	epinal
,	PUN	,
remy	NOM	remy
marolle	NOM	marolle
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
pour	PRP	pour
vocation	NOM	vocation
principale	ADJ	principal
de	PRP	de
produire	VER:infi	produire
des	PRP:det	du
plaques	NOM	plaque
d'	PRP	de
immatriculation	NOM	immatriculation
mais	KON	mais
applaudit	VER:pres	applaudir
«	PUN:cit	«
des	PRP:det	du
deux	NUM	deux
mains	NOM	main
»	PUN:cit	»
la	DET:ART	le
nouvelle	ADJ	nouveau
disposition	NOM	disposition
.	SENT	.
«	PUN:cit	«
elle	PRO:PER	elle
est	VER:pres	être
nécessaire	ADJ	nécessaire
car	KON	car
on	PRO:PER	on
était	VER:impf	être
en	PRP	en
train	NOM	train
de	PRP	de
voir	VER:infi	voir
tout	ADV	tout
et	KON	et
n'	ADV	ne
importe	VER:pres	importer
quoi	PRO	quoi
.	SENT	.
la	DET:ART	le
lecture	NOM	lecture
d'	PRP	de
une	DET:ART	un
plaque	NOM	plaque
«	PUN:cit	«
customisée	VER:pper	customisée
»	PUN:cit	»
peut	VER:pres	pouvoir
se	PRO:PER	se
révéler	VER:infi	révéler
impossible	ADJ	impossible
en	PRP	en
cas	NOM	cas
de	PRP	de
fuite	NOM	fuite
sur	PRP	sur
un	DET:ART	un
accident	NOM	accident
responsable	ADJ	responsable
.	SENT	.
les	DET:ART	le
chauffards	NOM	chauffard
jouent	VER:pres	jouer
évidemment	ADV	évidemment
là-dessus	ADV	là-dessus
.	SENT	.
j'	PRO:PER	je
observe	VER:pres	observer
que	KON	que
les	DET:ART	le
voitures	NOM	voiture
et	KON	et
motos	NOM	moto
sont	VER:pres	être
concernés	VER:pper	concerner
mais	KON	mais
j'	PRO:PER	je
aurais	VER:cond	avoir
préféré	VER:pper	préférer
voir	VER:infi	voir
la	DET:ART	le
mesure	NOM	mesure
s'	PRO:PER	se
étendre	VER:infi	étendre
aux	PRP:det	au
scooters	NOM	scooter
qui	PRO:REL	qui
sont	VER:pres	être
de	PRP	de
vrais	ADJ	vrai
dangers	NOM	danger
publics	ADJ	public
en	PRP	en
ville	NOM	ville
et	KON	et
qui	PRO:REL	qui
depuis	PRP	depuis
longtemps	ADV	longtemps
devraient	VER:cond	devoir
avoir	VER:infi	avoir
une	DET:ART	un
immatriculation	NOM	immatriculation
...	PUN	...
»	PUN:cit	»
la	DET:ART	le
production	NOM	production
de	PRP	de
plaques	NOM	plaque
reste	VER:pres	rester
soumise	VER:pper	soumettre
à	PRP	à
une	DET:ART	un
procédure	NOM	procédure
très	ADV	très
stricte	ADJ	strict
,	PUN	,
mais	KON	mais
tout	PRO:IND	tout
le	DET:ART	le
monde	NOM	monde
ne	ADV	ne
la	PRO:PER	la
respecte	VER:pres	respecter
pas	ADV	pas
,	PUN	,
selon	PRP	selon
lui	PRO:PER	lui
:	PUN	:
«	PUN:cit	«
il	PRO:PER	il
est	VER:pres	être
encore	ADV	encore
trop	ADV	trop
facile	ADJ	facile
de	PRP	de
faire	VER:infi	faire
faire	VER:infi	faire
des	PRP:det	du
faux	ADJ	faux
jeux	NOM	jeu
si	KON	si
ne	ADV	ne
prend	VER:pres	prendre
pas	ADV	pas
certaines	PRO:IND	certain
précautions	NOM	précaution
.	SENT	.
moi	PRO:PER	moi
,	PUN	,
je	PRO:PER	je
demande	VER:pres	demander
systématiquement	ADV	systématiquement
l'	DET:ART	le
original	NOM	original
de	PRP	de
la	DET:ART	le
carte	NOM	carte
grise	ADJ	gris
pour	PRP	pour
le	DET:ART	le
reporter	NOM	reporter
sur	PRP	sur
un	DET:ART	un
registre	NOM	registre
.	SENT	.
nous	PRO:PER	nous
recevons	VER:pres	recevoir
des	PRP:det	du
lots	NOM	lot
de	PRP	de
plaques	NOM	plaque
numérotés	VER:pper	numéroter
et	KON	et
gravés	VER:pper	graver
.	SENT	.
il	PRO:PER	il
est	VER:pres	être
très	ADV	très
facile	ADJ	facile
de	PRP	de
remonter	VER:infi	remonter
au	PRP:det	au
magasin	NOM	magasin
qui	PRO:REL	qui
les	PRO:PER	la|le
a	VER:pres	avoir
vendus	VER:pper	vendre
.	SENT	.
et	KON	et
en	PRP	en
cas	NOM	cas
de	PRP	de
pépin	NOM	pépin
ça	PRO:DEM	cela
peut	VER:pres	pouvoir
nous	PRO:PER	nous
coûter	VER:infi	coûter
cher	ADV	cher
...	PUN	...
»	PUN:cit	»
