metz	ABR	metz
.	SENT	.
_	NOM	_
un	DET:ART	un
homme	NOM	homme
qui	PRO:REL	qui
transportait	VER:impf	transporter
un	DET:ART	un
décor	NOM	décor
de	PRP	de
théâtre	NOM	théâtre
,	PUN	,
notamment	ADV	notamment
un	DET:ART	un
arbre	NOM	arbre
en	PRP	en
plastique	NOM	plastique
aux	PRP:det	au
feuillages	NOM	feuillage
faisant	VER:ppre	faire
penser	VER:infi	penser
à	PRP	à
du	PRP:det	du
cannabis	NOM	cannabis
,	PUN	,
a	VER:pres	avoir
été	VER:pper	être
interpellé	VER:pper	interpeller
par	PRP	par
la	DET:ART	le
gendarmerie	NOM	gendarmerie
pour	PRP	pour
incitation	NOM	incitation
à	PRP	à
la	DET:ART	le
consommation	NOM	consommation
de	PRP	de
stupéfiants	NOM	stupéfiant
.	SENT	.
james	NOM	james
van	NOM	van
der	NOM	der
straeten	ADJ	straeten
,	PUN	,
marionnettiste	NOM	marionnettiste
de	PRP	de
son	DET:POS	son
état	NOM	état
,	PUN	,
a	VER:pres	avoir
rapporté	VER:pper	rapporter
avoir	VER:infi	avoir
été	VER:pper	être
interpellé	VER:pper	interpeller
par	PRP	par
des	PRP:det	du
gendarmes	NOM	gendarme
à	PRP	à
son	DET:POS	son
domicile	NOM	domicile
d'	PRP	de
abreschviller	VER:infi	abreschviller
en	PRP	en
moselle	ADJ	moselle
.	SENT	.
dans	PRP	dans
sa	DET:POS	son
fourgonnette	NOM	fourgonnette
garée	VER:pper	garer
devant	ADV	devant
chez	PRP	chez
lui	PRO:PER	lui
,	PUN	,
les	DET:ART	le
gendarmes	NOM	gendarme
avaient	VER:impf	avoir
vu	VER:pper	voir
à	PRP	à
travers	NOM	travers
la	DET:ART	le
lunette	NOM	lunette
arrière	ADJ	arrière
des	PRP:det	du
feuilles	NOM	feuille
dentelées	ADJ	dentelé
ressemblant	VER:ppre	ressembler
à	PRP	à
du	PRP:det	du
chanvre	NOM	chanvre
.	SENT	.
malgré	PRP	malgré
ses	DET:POS	son
dénégations	NOM	dénégation
,	PUN	,
il	PRO:PER	il
a	VER:pres	avoir
été	VER:pper	être
entendu	VER:pper	entendre
pendant	PRP	pendant
deux	NUM	deux
heures	NOM	heure
à	PRP	à
la	DET:ART	le
gendarmerie	NOM	gendarmerie
.	SENT	.
l'	DET:ART	le
objet	NOM	objet
du	PRP:det	du
délit	NOM	délit
,	PUN	,
un	DET:ART	un
arbre	NOM	arbre
en	PRP	en
plastique	ADJ	plastique
d'1,	NOM	d'1,
50	NUM	@card@
m	NOM	m
de	PRP	de
haut	NOM	haut
imitant	VER:ppre	imiter
,	PUN	,
selon	PRP	selon
lui	PRO:PER	lui
,	PUN	,
«	PUN:cit	«
des	PRP:det	du
feuilles	NOM	feuille
de	PRP	de
marronnier	NOM	marronnier
rétréci	VER:pper	rétrécir
»,	ADJ	»,
a	VER:pres	avoir
été	VER:pper	être
saisi	VER:pper	saisir
,	PUN	,
mis	VER:pper	mettre
sous	PRP	sous
scellé	NOM	scellé
et	KON	et
«	PUN:cit	«
sera	VER:futu	être
détruit	VER:pper	détruire
par	PRP	par
le	DET:ART	le
parquet	NOM	parquet
»,	ADJ	»,
a	VER:pres	avoir
expliqué	VER:pper	expliquer
le	DET:ART	le
marionnettiste	NOM	marionnettiste
qui	PRO:REL	qui
ne	ADV	ne
devrait	VER:cond	devoir
toutefois	ADV	toutefois
pas	ADV	pas
être	VER:infi	être
poursuivi	VER:pper	poursuivre
.	SENT	.
la	DET:ART	le
gendarmerie	NOM	gendarmerie
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
souhaité	VER:pper	souhaiter
communiquer	VER:infi	communiquer
sur	PRP	sur
le	DET:ART	le
sujet	NOM	sujet
.	SENT	.
«	PUN:cit	«
je	PRO:PER	je
fais	VER:pres	faire
ce	PRO:DEM	ce
spectacle	NOM	spectacle
depuis	PRP	depuis
huit	NUM	huit
ans	NOM	an
,	PUN	,
j'	PRO:PER	je
ai	VER:pres	avoir
fait	VER:pper	faire
des	PRP:det	du
représentations	NOM	représentation
pour	KON	pour
des	PRP:det	du
gendarmes	NOM	gendarme
,	PUN	,
des	PRP:det	du
crs	NOM	crs
,	PUN	,
on	PRO:PER	on
ne	ADV	ne
m'	PRO:PER	me
avait	VER:impf	avoir
jamais	ADV	jamais
rien	ADV	rien
dit	VER:pper	dire
»,	NOM	»,
s'	PRO:PER	se
est	VER:pres	être
étonné	VER:pper	étonner
james	NOM	james
van	NOM	van
der	NOM	der
straeten	ADJ	straeten
avant	PRP	avant
d'	PRP	de
ajouter	VER:infi	ajouter
qu'	KON	que
un	DET:ART	un
arbre	NOM	arbre
factice	ADJ	factice
de	PRP	de
la	DET:ART	le
même	ADJ	même
essence	NOM	essence
trône	VER:pres	trôner
dans	PRP	dans
le	DET:ART	le
hall	NOM	hall
de	PRP	de
la	DET:ART	le
caisse	NOM	caisse
d'	PRP	de
épargne	NOM	épargne
de	PRP	de
sarrebourg	NOM	sarrebourg
.	SENT	.
