Key = juppé, Value = 1
Key = (croatie), Value = 1
Key = de, Value = 6
Key = au-dessus, Value = 1
Key = partielle, Value = 1
Key = bosnie, Value = 2
Key = signé, Value = 1
Key = grandes, Value = 1
Key = l'utilité, Value = 1
Key = des, Value = 2
Key = izetbegovic, Value = 1
Key = rien, Value = 1
Key = l'administration, Value = 1
Key = confirmaient, Value = 1
Key = les, Value = 5
Key = entre, Value = 1
Key = plan, Value = 1
Key = bien, Value = 1
Key = tudjman, Value = 1
Key = réunion, Value = 1
Key = serbie, Value = 2
Key = par, Value = 1
Key = averti, Value = 1
Key = pas, Value = 1
Key = être, Value = 1
Key = l'union, Value = 1
Key = sommet, Value = 2
Key = pouvait, Value = 1
Key = repérées, Value = 1
Key = en, Value = 1
Key = américaine, Value = 1
Key = et, Value = 3
Key = n'auront, Value = 1
Key = serbes, Value = 1
Key = d'un, Value = 1
Key = milosevic, Value = 1
Key = alain, Value = 1
Key = soit, Value = 1
Key = 2, Value = 1
Key = 3, Value = 1
Key = d'hélicoptères, Value = 1
Key = 4, Value = 1
Key = 6, Value = 1
Key = lors, Value = 1
Key = ne, Value = 1
Key = février, Value = 1
Key = suspendue, Value = 1
Key = washington, Value = 1
Key = appuyé, Value = 1
Key = doutant, Value = 1
Key = sanctions, Value = 1
Key = (bosnie), Value = 1
Key = que, Value = 4
Key = européenne, Value = 1
Key = observateurs, Value = 1
Key = réticente, Value = 1
Key = qui, Value = 1
Key = tant, Value = 1
Key = telle, Value = 1
Key = (serbie), Value = 1
Key = orientale, Value = 1
Key = présidents, Value = 1
Key = nom, Value = 1
Key = escadrilles, Value = 1
Key = proposé, Value = 1
Key = paix, Value = 1
Key = projet, Value = 1
Key = si, Value = 1
Key = puissances, Value = 1
Key = contre, Value = 1
Key = alija, Value = 1
Key = d'une, Value = 1
Key = l'onu, Value = 1
Key = a, Value = 2
Key = lundi, Value = 1
Key = ce, Value = 1
Key = févier, Value = 1
Key = leur, Value = 1
Key = slobodan, Value = 1
Key = reste, Value = 1
Key = pour, Value = 1
Key = monténégro, Value = 1
Key = saisi, Value = 1
Key = ont, Value = 1
Key = la, Value = 3
Key = décidé, Value = 1
Key = le, Value = 3
Key = franjo, Value = 1
Key = provenaient, Value = 1
Key = levée, Value = 1
Key = ﻿, Value = 1
